,0
0,1506.87784795
1,1045.25611723
2,811.070640002
3,660.231478948
4,551.969447581
5,470.879373481
6,410.816012648
7,364.599358473
8,328.873234154
9,299.236052729
10,275.691421188
11,256.551833909
12,240.628256227
13,226.606585138
14,214.457557904
15,204.624953662
16,195.577045685
17,187.678189755
18,180.696402112
19,174.492666186
20,169.020704799
21,163.912626433
22,159.483160917
23,155.272599792
24,151.568627231
25,148.049276451
26,144.956042578
27,141.993807337
28,139.307962605
29,136.7670615
30,134.414280542
31,132.227607458
32,130.250654242
33,128.239116263
34,126.502350112
35,124.858850789
36,123.214802925
37,121.694101971
38,120.315656851
39,118.965088785
