,0
0,6037.74392667
1,1257.79055032
2,848.859083108
3,538.536590686
4,423.934040083
5,381.802880067
6,296.126744344
7,252.255820353
8,217.413242573
9,207.472799244
10,192.386866894
11,184.500240121
12,145.426032626
13,145.02391292
14,122.976611607
15,133.012089597
16,108.301829241
17,93.7856549109
18,113.358530746
19,75.7967881885
20,111.00194015
21,79.2873688891
22,82.7274880372
23,78.3312996555
24,92.3937918156
25,74.774046672
26,95.4938698659
27,71.4174412513
28,62.1064510641
29,66.3409565864
